text,label
I'm so mad at what just happened!,anger
This is the best day of my life,joy
I truly care about you,love
I adore spending time with you,love
This situation is so unfair,anger
I'm going for a walk later,neutral
What if everything goes wrong?,fear
Reading a book quietly at home,neutral
I'm losing my patience with everyone,anger
I'm so mad at what just happened!,anger
"I can't stop smiling, everything is perfect",joy
I'm going for a walk later,neutral
We had an amazing time at the party,joy
Nothing is going the way I hoped,sadness
"I can't stop smiling, everything is perfect",joy
I'm going for a walk later,neutral
Today was an average day,neutral
I can't believe they treated me that way,anger
This situation is so unfair,anger
This is the best day of my life,joy
I feel anxious and can't calm down,fear
I'm really scared about the future,fear
I'm so nervous about tomorrow,fear
I miss how things used to be,sadness
I feel so alone right now,sadness
There's not much going on right now,neutral
"I can't stop smiling, everything is perfect",joy
Today was an average day,neutral
I'm going for a walk later,neutral
It's frustrating to deal with this nonsense,anger
I finally achieved my goal!,joy
Everything seems pointless today,sadness
This situation is so unfair,anger
I truly care about you,love
"I can't stop smiling, everything is perfect",joy
I'm really scared about the future,fear
I miss how things used to be,sadness
I'm so nervous about tomorrow,fear
"Just finished my dinner, nothing special",neutral
I'm so nervous about tomorrow,fear
I feel so alone right now,sadness
It's frustrating to deal with this nonsense,anger
We had an amazing time at the party,joy
I'm so nervous about tomorrow,fear
I feel anxious and can't calm down,fear
I adore spending time with you,love
It's frustrating to deal with this nonsense,anger
I'm so mad at what just happened!,anger
Love makes everything brighter,love
I just want to cry and stay in bed,sadness
I'm so mad at what just happened!,anger
I'm so nervous about tomorrow,fear
I finally achieved my goal!,joy
What if everything goes wrong?,fear
Nothing is going the way I hoped,sadness
I'm really scared about the future,fear
I miss how things used to be,sadness
The thought of failing terrifies me,fear
I'm losing my patience with everyone,anger
We had an amazing time at the party,joy
This situation is so unfair,anger
What if everything goes wrong?,fear
The thought of failing terrifies me,fear
Reading a book quietly at home,neutral
I feel anxious and can't calm down,fear
I just want to cry and stay in bed,sadness
There's not much going on right now,neutral
Today was an average day,neutral
The thought of failing terrifies me,fear
I finally achieved my goal!,joy
We had an amazing time at the party,joy
I can't imagine life without my family,love
What if everything goes wrong?,fear
"I can't stop smiling, everything is perfect",joy
I feel anxious and can't calm down,fear
I'm losing my patience with everyone,anger
Nothing is going the way I hoped,sadness
This situation is so unfair,anger
I just want to cry and stay in bed,sadness
"I can't stop smiling, everything is perfect",joy
I'm so mad at what just happened!,anger
I'm so mad at what just happened!,anger
Reading a book quietly at home,neutral
I'm going for a walk later,neutral
I'm going for a walk later,neutral
Nothing is going the way I hoped,sadness
The thought of failing terrifies me,fear
Today was an average day,neutral
I'm really scared about the future,fear
It's frustrating to deal with this nonsense,anger
We had an amazing time at the party,joy
Today was an average day,neutral
I'm losing my patience with everyone,anger
This is the best day of my life,joy
This is the best day of my life,joy
The thought of failing terrifies me,fear
I'm so nervous about tomorrow,fear
Everything seems pointless today,sadness
I feel anxious and can't calm down,fear
This is the best day of my life,joy
